# rta
#: time in fs  dipole-momenta: x   y   z
  17.42400   0.11873039E-04  -0.20936948E-03  -0.80751284E+00
  17.47240  -0.53901064E-04  -0.27639745E-03  -0.53414901E+00
  17.52080  -0.12448150E-03  -0.33442021E-03  -0.23926909E+00
  17.56920  -0.19728898E-03  -0.37987050E-03   0.64617699E-01
  17.61760  -0.26932003E-03  -0.40986142E-03   0.36501696E+00
  17.66600  -0.33766212E-03  -0.42256600E-03   0.64989470E+00
  17.71440  -0.39955303E-03  -0.41723790E-03   0.90805310E+00
  17.76280  -0.45222821E-03  -0.39399023E-03   0.11293873E+01
  17.81120  -0.49286386E-03  -0.35390348E-03   0.13051286E+01
  17.85960  -0.51898149E-03  -0.29939185E-03   0.14280902E+01
  17.90800  -0.44745152E-03  -0.53109947E-03   0.14986270E+01
  17.95640  -0.43903065E-03  -0.45990649E-03   0.15018397E+01
  18.00480  -0.41226276E-03  -0.37968423E-03   0.14433845E+01
  18.05320  -0.36691123E-03  -0.29554574E-03   0.13254248E+01
  18.10160  -0.30363751E-03  -0.21294962E-03   0.11528519E+01
  18.15000  -0.22392946E-03  -0.13722281E-03   0.93314303E+00
  18.19840  -0.13001097E-03  -0.73053794E-04   0.67597475E+00
  18.24680  -0.24919019E-04  -0.24369748E-04   0.39264131E+00
  18.29520   0.87680068E-04   0.59695128E-05   0.95335740E-01
  18.34360   0.20378864E-03   0.16359986E-04  -0.20349022E+00
  18.39200  -0.75046938E-04  -0.29363837E-03  -0.48439965E+00
  18.44040   0.38712657E-04  -0.30693654E-03  -0.74975716E+00
  18.48880   0.15122834E-03  -0.33587280E-03  -0.98279140E+00
  18.53720   0.25689474E-03  -0.37918870E-03  -0.11744442E+01
  18.58560   0.35046902E-03  -0.43490483E-03  -0.13171527E+01
  18.63400   0.42723658E-03  -0.50006911E-03  -0.14051235E+01
  18.68240   0.48338677E-03  -0.57090058E-03  -0.14345984E+01
  18.73080   0.51631203E-03  -0.64275204E-03  -0.14041347E+01
  18.77920   0.52491826E-03  -0.71042142E-03  -0.13148418E+01
  18.82760   0.50933503E-03  -0.76878898E-03  -0.11704947E+01
  18.87600   0.52481554E-03  -0.79627095E-03  -0.97266858E+00
  18.92440   0.47646215E-03  -0.81488545E-03  -0.74052243E+00
  18.97280   0.41067956E-03  -0.81292405E-03  -0.47895777E+00
  19.02120   0.33185417E-03  -0.78798897E-03  -0.19961399E+00
  19.06960   0.24452536E-03  -0.73883561E-03   0.85474406E-01
  19.11800   0.15325531E-03  -0.66558226E-03   0.36442362E+00
  19.16640   0.62550406E-04  -0.56982228E-03   0.62599803E+00
  19.21480  -0.22802818E-04  -0.45424174E-03   0.85991673E+00
  19.26320  -0.98584716E-04  -0.32281505E-03   0.10571245E+01
  19.31160  -0.16112443E-03  -0.18064714E-03   0.12100036E+01
  19.36000  -0.15746942E-03  -0.71560341E-04   0.13159234E+01
  19.40840  -0.18510645E-03   0.88280882E-04   0.13632965E+01
