# TDLDA
# time in fs  dipole-momenta: x   y   z
  12.48720  -0.12500008E-08   0.44855747E-10  -0.10484665E+01
  12.53560   0.63146948E-08  -0.25198531E-09  -0.11053881E+01
  12.58400   0.13609035E-07  -0.54171358E-09  -0.11219368E+01
  12.63240   0.20372663E-07  -0.81703441E-09  -0.10967319E+01
  12.68080   0.26364385E-07  -0.10709649E-08  -0.10299502E+01
  12.72920   0.31371519E-07  -0.12970487E-08  -0.92339186E+00
  12.77760   0.35218905E-07  -0.14895746E-08  -0.78047314E+00
  12.82600   0.37776624E-07  -0.16437709E-08  -0.60613137E+00
  12.87440   0.38966046E-07  -0.17560064E-08  -0.40664337E+00
  12.92280   0.38763427E-07  -0.18238190E-08  -0.18936073E+00
  12.97120   0.37199090E-07  -0.18458816E-08   0.37621252E-01
  13.01960   0.34353192E-07  -0.18219176E-08   0.26581344E+00
  13.06800   0.30349516E-07  -0.17525209E-08   0.48666709E+00
  13.11640   0.25348016E-07  -0.16389472E-08   0.69187327E+00
  13.16480   0.19537655E-07  -0.14829032E-08   0.87362820E+00
  13.21320   0.13129596E-07  -0.12865139E-08   0.10248805E+01
  13.26160   0.63498838E-08  -0.10523894E-08   0.11395520E+01
  13.31000  -0.56696459E-09  -0.78381448E-09   0.12127530E+01
  13.35840  -0.73839757E-08  -0.48503346E-09   0.12409992E+01
  13.40680  -0.13868317E-07  -0.16153265E-09   0.12224108E+01
  13.45520  -0.19798555E-07   0.17981307E-09   0.11568704E+01
  13.50360  -0.24972402E-07   0.53072047E-09   0.10461197E+01
  13.55200  -0.29214845E-07   0.88161973E-09   0.89377386E+00
  13.60040  -0.32386134E-07   0.12218879E-08   0.70522988E+00
  13.64880  -0.34388553E-07   0.15402199E-08   0.48745924E+00
  13.69720  -0.35171553E-07   0.18250971E-08   0.24870131E+00
  13.74560  -0.34732841E-07   0.20652666E-08  -0.19294634E-02
  13.79400  -0.33115383E-07   0.22502100E-08  -0.25486542E+00
  13.84240  -0.30401867E-07   0.23706150E-08  -0.50048165E+00
  13.89080  -0.26707551E-07   0.24188210E-08  -0.72943727E+00
  13.93920  -0.22173567E-07   0.23892761E-08  -0.93296680E+00
  13.98760  -0.16961055E-07   0.22790174E-08  -0.11031447E+01
  14.03600  -0.11245326E-07   0.20881456E-08  -0.12331211E+01
  14.08440  -0.52118816E-08   0.18202447E-08  -0.13173597E+01
  14.13280   0.94649087E-09   0.14826686E-08  -0.13518878E+01
  14.18120   0.70330617E-08   0.10865767E-08  -0.13345280E+01
  14.22960   0.12851305E-07   0.64666372E-09  -0.12650873E+01
  14.27800   0.18209979E-07   0.18059598E-09  -0.11454794E+01
  14.32640   0.22929426E-07  -0.29180921E-09  -0.97975099E+00
  14.37480   0.26848989E-07  -0.74964897E-09  -0.77397965E+00
  14.42320   0.29834599E-07  -0.11721255E-08  -0.53602359E+00
  14.47160   0.31785910E-07  -0.15398743E-08  -0.27515183E+00
  14.52000   0.32640506E-07  -0.18362349E-08  -0.15771026E-02
  14.56840   0.32374571E-07  -0.20481874E-08   0.27404110E+00
  14.61680   0.31001193E-07  -0.21669830E-08   0.54105044E+00
  14.66520   0.28567008E-07  -0.21884286E-08   0.78917867E+00
  14.71360   0.25149300E-07  -0.21129847E-08   0.10088424E+01
  14.76200   0.20853562E-07  -0.19456357E-08   0.11914176E+01
  14.81040   0.15811447E-07  -0.16955603E-08   0.13294849E+01
  14.85880   0.10180293E-07  -0.13757725E-08   0.14170944E+01
  14.90720   0.41424184E-08  -0.10025882E-08   0.14500501E+01
  14.95560  -0.20975444E-08  -0.59486313E-09   0.14261769E+01
  15.00400  -0.83175754E-08  -0.17304236E-09   0.13455362E+01
  15.05240  -0.14285360E-07   0.24195340E-09   0.12105632E+01
  15.10080  -0.19767648E-07   0.62998177E-09   0.10260849E+01
